firm,year,quarter,ROA,NPM,TATO,ITO,DAR,QR,FCF_TA,ICR,has_debt,SIZE,ROA_lag1,ROA_lag4,REV_GROWTH_YOY,target
API,2014,1,0.000284271,0,0.000379664,0.000478957,0.493884299,0.793109297,-0.011086607,-1.764461661,1,27.03200614,0.04937847,0.004311789,0,0
API,2014,2,-0.006287366,-1.880262976,0.002122162,0.151526896,0.503653069,0.710797846,-0.040543179,-4.457721888,1,27.03892811,0.000284271,0.006602905,0,1
API,2014,3,0.004782559,0,0.000379664,0.000478957,0.522527804,0.718331445,0.014195011,8.587974763,1,27.08754074,-0.006287366,0.004696857,-0.975108666,1
API,2014,4,0.011629642,2.422960708,0.004799765,0.277174397,0.543215576,0.771364068,-0.034073107,211.1672003,1,27.15678059,0.004782559,0.04937847,0,1
API,2015,1,0.039280194,0,0.000379664,0.000478957,0.508309019,1.151934553,0.058739922,840.2652443,1,27.44297631,0.011629642,0.000284271,0,1
API,2015,2,0.028294225,3.281683797,0.000379664,0.030254396,0.298574443,2.605669119,-0.106390261,840.2652443,1,27.13082638,0.039280194,-0.006287366,-0.848510635,1
API,2015,3,0.007238049,3.281683797,0.000379664,0.000478957,0.425983437,1.798356115,-0.060909776,840.2652443,1,27.32034113,0.028294225,0.004782559,0,0
API,2015,4,-0.010617902,-1.880262976,0.003274593,1.223219964,0.453067748,1.633718087,0.132557096,-10.14781211,1,27.26063399,0.007238049,0.011629642,-0.192813152,0
API,2016,1,0.00079103,0.026264848,0.030117452,7.865658251,0.551369144,1.375834125,0.089983089,11.83262325,1,27.45843378,-0.010617902,0.039280194,0,0
API,2016,2,0.001165796,0.052520363,0.022197027,4.50325554,0.375850259,2.045119303,-0.135263806,7.007142512,1,27.13054244,0.00079103,0.028294225,16.93239521,0
API,2016,3,-0.001962659,-0.235862222,0.008321208,2.930872222,0.445597368,1.522597177,-0.135263806,-4.292797887,1,27.24665178,0.001165796,0.007238049,16.93239521,0
API,2016,4,-0.002253382,-0.303405524,0.007426965,2.764011032,0.481613061,1.238253986,0.020726154,-2.955850042,1,27.31291373,-0.001962659,-0.010617902,1.24413927,1
API,2017,1,0.036834005,0.359704496,0.102400735,15.67834562,0.521322757,1.239445097,0.116517561,88.09810762,1,27.45674598,-0.002253382,0.00079103,2.479143539,0
API,2017,2,-0.005636235,-0.507950244,0.011096037,3.703126052,0.633376024,0.984543945,0.062359901,0.682450692,1,27.70987426,0.036834005,0.001165796,-0.336309726,1
API,2017,3,0.009946868,0.312233219,0.031857173,9.637194474,0.684562965,0.816060186,0.076212173,27.28667099,1,27.88682709,-0.005636235,-0.001962659,6.059918014,1
API,2017,4,0.016426178,0.15550148,0.105633578,15.67834562,0.693425539,0.763612297,-0.007012958,75.69407891,1,27.96624646,0.009946868,-0.002253382,16.93239521,0
API,2018,1,0.006393062,0.130094207,0.049141787,0.169998908,0.71230934,0.702752026,-0.085679184,30.05179664,1,28.05175427,0.016426178,0.036834005,-0.105672927,1
API,2018,2,0.018797218,0.122208307,0.153812935,0.30138805,0.649794817,0.817701114,-0.056329546,127.7232321,1,27.92569037,0.006393062,-0.005636235,16.93239521,1
API,2018,3,0.016593805,0.094243729,0.176073309,0.440526063,0.68420749,0.890657317,-0.135263806,74.03530664,1,28.08551154,0.018797218,0.009946868,5.794875089,0
API,2018,4,0.005740033,0.033060471,0.173622238,0.506425981,0.721971694,0.721542917,0.132557096,27.84459379,1,28.20720851,0.016593805,0.016426178,1.04989948,0
API,2019,1,0.000451614,0.012155393,0.037153358,0.085727345,0.74996698,1.024464987,0.051406847,7.470331412,1,28.26121203,0.005740033,0.006393062,-0.053509979,0
API,2019,2,-0.005431844,-0.269196559,0.020177984,0.042606289,0.787951181,0.770089285,-0.065183063,-1.930925618,1,28.40234668,0.000451614,0.018797218,-0.8150344,0
API,2019,3,-0.004793445,-0.26686834,0.017961836,0.033688213,0.804540441,0.679603042,0.050245343,-1.908222243,1,28.49665076,-0.005431844,0.016593805,-0.841314589,1
API,2019,4,0.018268599,0.148572613,0.122960743,0.20675231,0.796722501,0.672394433,-0.026486394,13.54844963,1,28.51983503,-0.004793445,0.005740033,0.015197503,1
API,2020,1,0.004612808,0.091446885,0.050442486,0.076592295,0.810394106,0.651896392,-0.067717911,9.976184766,1,28.60996092,0.018268599,0.000451614,0.891022813,0
API,2020,2,0.006099336,0.139045363,0.0438658,0.060668232,0.810663453,0.51845465,0.012901071,4.483047374,1,28.64358309,0.004612808,-0.005431844,1.913016127,1
API,2020,3,0.005204386,0.163734656,0.031785486,0.036410309,0.806715958,0.512735226,-0.0131288,15.40825437,1,28.65710936,0.006099336,-0.004793445,1.160888752,0
API,2020,4,0.005078986,0.093613426,0.054254887,0.068909034,0.813678388,0.480268155,-0.011441118,3.019135211,1,28.70032922,0.005204386,0.018268599,-0.476662853,1
API,2021,1,0.00606946,0.070636015,0.08592586,0.11537203,0.79478929,0.410842285,0.002828615,2.734988827,1,28.62433405,0.005078986,0.004612808,0.877219015,0
API,2021,2,0.004163973,0.08348849,0.049874819,0.054858708,0.798278103,0.345083069,-0.010331615,3.178013005,1,28.64282569,0.00606946,0.006099336,0.144640479,1
API,2021,3,0.01526837,0.182318889,0.083745408,0.093494711,0.797338782,0.467568571,-0.058549725,7.113321242,1,28.71374765,0.004163973,0.005204386,1.711000519,1
API,2021,4,0.044649768,0.234645302,0.190286222,0.209238243,0.703494976,0.365854007,-0.009496817,12.74825714,1,28.67838214,0.01526837,0.005078986,2.568355179,1
API,2022,1,0.017458554,0.163635025,0.106692035,0.141501997,0.664942175,0.43342094,0.013427826,10.6570021,1,28.61156373,0.044649768,0.00606946,0.2201078,0
API,2022,2,0.0010027,0.009354771,0.10718598,0.157474661,0.654453531,0.553246838,-0.036441551,1.680200702,1,28.5837151,0.017458554,0.004163973,1.073344374,1
API,2022,3,0.005768783,0.115009283,0.050159281,0.06992381,0.654244618,0.574896193,-0.033999129,0.976718241,1,28.60647462,0.0010027,0.01526837,-0.449172419,1
API,2022,4,0.021310841,0.795463425,0.026790473,0.067505481,0.611339175,0.770374278,0.044671787,3.066374948,1,28.56192244,0.005768783,0.044649768,-0.87409878,1
API,2023,1,0.00179234,0.071086488,0.025213517,0.033269638,0.587229807,0.781234105,-0.051478844,0.643928814,1,28.50541303,0.021310841,0.017458554,-0.788605737,0
API,2023,2,-0.005936899,-0.341776726,0.017370694,0.028926766,0.591855455,0.672085897,0.048962655,-1.073935271,1,28.50224262,0.00179234,0.0010027,-0.852464757,0
API,2023,3,-0.007464618,-0.37776331,0.01976004,0.033855394,0.585511267,0.73486602,-0.012874421,-1.218236953,1,28.46869263,-0.005936899,0.005768783,-0.64693149,0
API,2023,4,-0.009304541,-0.455539289,0.020425333,0.042530633,0.590777433,0.743709654,0.021789478,-0.654446135,1,28.46096704,-0.007464618,0.021310841,-0.323538494,0
API,2024,1,-0.00519215,-0.337593931,0.015379866,0.032004323,0.589899577,0.669284026,-0.006267845,-0.815620505,1,28.43856398,-0.009304541,0.00179234,-0.43929455,0
API,2024,2,-0.005737445,-0.207950401,0.027590448,0.045685688,0.57359692,0.695007769,-0.000205521,-0.76930245,1,28.38587594,-0.00519215,-0.005936899,0.449796129,0
