model,fold,val_year,n_train,n_val,AUC,PR_AUC,F1,Accuracy
LR_L2,1,2017,564,188,0.7456,0.7537,0.6829,0.6543
LR_L2,2,2018,752,188,0.7133,0.7344,0.6762,0.6383
LR_L2,3,2019,940,188,0.7902,0.8002,0.7664,0.734
LR_L2,4,2020,1128,188,0.8341,0.8572,0.7579,0.7553
LR_L2,5,2021,1316,188,0.7301,0.7485,0.7077,0.6968
LR_L2,6,2022,1504,188,0.8139,0.8264,0.75,0.7553
LR_L2,7,2023,1692,188,0.7947,0.8064,0.6364,0.7021
LR_L2,8,2024,1880,188,0.7967,0.809,0.6013,0.6755
LR_L1,1,2017,564,188,0.7437,0.7541,0.6774,0.6809
LR_L1,2,2018,752,188,0.7163,0.7362,0.6462,0.633
LR_L1,3,2019,940,188,0.7937,0.809,0.7596,0.734
LR_L1,4,2020,1128,188,0.8507,0.8699,0.7684,0.7819
LR_L1,5,2021,1316,188,0.7177,0.7369,0.6979,0.6915
LR_L1,6,2022,1504,188,0.8022,0.8102,0.7241,0.7447
LR_L1,7,2023,1692,188,0.7927,0.8089,0.5986,0.6862
LR_L1,8,2024,1880,188,0.782,0.7901,0.4965,0.6223
RF,1,2017,564,188,0.7389,0.7576,0.7136,0.6968
RF,2,2018,752,188,0.767,0.7994,0.7404,0.7128
RF,3,2019,940,188,0.858,0.874,0.7902,0.7713
RF,4,2020,1128,188,0.8802,0.9062,0.8306,0.8351
RF,5,2021,1316,188,0.7775,0.8184,0.6989,0.7021
RF,6,2022,1504,188,0.821,0.8674,0.7485,0.7713
RF,7,2023,1692,188,0.839,0.8548,0.6792,0.7287
RF,8,2024,1880,188,0.8093,0.8289,0.6144,0.6862
GBM,1,2017,564,188,0.7293,0.766,0.699,0.6702
GBM,2,2018,752,188,0.7729,0.8063,0.7512,0.7181
GBM,3,2019,940,188,0.8605,0.8843,0.7788,0.7553
GBM,4,2020,1128,188,0.881,0.899,0.8148,0.8138
GBM,5,2021,1316,188,0.7642,0.8096,0.7158,0.7128
GBM,6,2022,1504,188,0.8134,0.8625,0.7485,0.7713
GBM,7,2023,1692,188,0.8364,0.852,0.7229,0.7553
GBM,8,2024,1880,188,0.8168,0.8548,0.6456,0.7021
XGB,1,2017,564,188,0.7461,0.7851,0.7109,0.6755
XGB,2,2018,752,188,0.7588,0.7877,0.7273,0.6809
XGB,3,2019,940,188,0.8427,0.8563,0.7714,0.7447
XGB,4,2020,1128,188,0.8825,0.9058,0.837,0.8404
XGB,5,2021,1316,188,0.7757,0.8258,0.709,0.7074
XGB,6,2022,1504,188,0.8133,0.8603,0.7514,0.7713
XGB,7,2023,1692,188,0.822,0.8451,0.679,0.7234
XGB,8,2024,1880,188,0.8098,0.8426,0.641,0.7021
SVM,1,2017,564,188,0.7525,0.7911,0.7059,0.7074
SVM,2,2018,752,188,0.741,0.7518,0.6863,0.6596
SVM,3,2019,940,188,0.8229,0.8388,0.7562,0.7394
SVM,4,2020,1128,188,0.8633,0.8934,0.7955,0.8085
SVM,5,2021,1316,188,0.7657,0.7984,0.7283,0.734
SVM,6,2022,1504,188,0.8189,0.858,0.7186,0.75
SVM,7,2023,1692,188,0.7795,0.8206,0.5714,0.6649
SVM,8,2024,1880,188,0.7826,0.8315,0.5833,0.6809
