feature,importance,type
ROA_lag1,0.10828208287349449,SHAP mean|phi|
ROA,0.08871796325450954,SHAP mean|phi|
ROA_lag4,0.05873140924740228,SHAP mean|phi|
NPM,0.02412855380011119,SHAP mean|phi|
TATO,0.01692889435800952,SHAP mean|phi|
ICR,0.009065743832463334,SHAP mean|phi|
QR,0.0049710708906468325,SHAP mean|phi|
SIZE,0.003203751875053559,SHAP mean|phi|
REV_GROWTH_YOY,0.002557445385742744,SHAP mean|phi|
ITO,0.0022212989083108922,SHAP mean|phi|
DAR,0.0010895785300083973,SHAP mean|phi|
FCF_TA,0.0008437047446250651,SHAP mean|phi|
has_debt,5.449962103719398e-05,SHAP mean|phi|
