firm,year,quarter,total_assets,current_assets,inventory,total_liabilities,short_term_debt,equity,revenue,cogs,operating_profit,interest_expense,net_income,cfo,capex,avg_total_assets,avg_equity,avg_inventory,ROA,ROE,NPM,TATO,ITO,DAR,DER,ICR,CR,QR,capex_abs,CFO_TA,FCF,FCF_TA,SIZE,REV_GROWTH_QOQ,REV_GROWTH_YOY,ROA_lag1,ROA_lag2,ROA_lag4
PV2,2013,1,467322971902.0,168283198254.0,10878999100.0,58654788558.0,58654788558.0,408668183344.0,88034618.0,0.0,-2312044303.0,-1430091667.0,-1907044303.0,1398292553.0,0.0,467322971902.0,408668183344.0,10878999100.0,-0.004080784420330008,-0.004666485869771586,-21.66243628160004,0.0001883806773754347,0.0,0.12551231607398963,0.1435266824004912,1.6167105622327915,2.8690444956185535,2.683569458243856,0.0,0.0029921331436136398,1398292553.0,0.0029921331436136398,26.870286444233326,,,,,
PV2,2013,2,413537133785.0,139275945173.0,16386549839.0,68334114824.0,67720023915.0,345203018961.0,2938125418.0,-2705146574.0,-37605004383.0,-904996488.0,-37657004383.0,6750632256.0,-11358864.0,440430052843.5,376935601152.5,13632774469.5,-0.08550053326261284,-0.09990301862668788,-12.816676971071356,0.006671037543943482,-0.1984296432140137,0.16524299571009562,0.19795341022704144,41.5526522827788,2.056643472952914,1.814668516482611,11358864.0,0.01532736517959353,6739273392.0,0.015301574786938294,26.74801315096935,32.374659704890185,,-0.004080784420330008,,
PV2,2013,3,396018073559.0,123882175877.0,16386549839.0,62911623678.0,62911623678.0,333106449881.0,341837552.0,0.0,-12576569081.0,0.0,-12096569081.0,-12355859317.0,11358864.0,404777603672.0,339154734421.0,16386549839.0,-0.029884482173085126,-0.03566681474062594,-35.38689359968269,0.0008445070796876359,0.0,0.15886048612028114,0.18886342098892034,,1.9691460597339696,1.708676707951362,11358864.0,-0.030525056734641422,-12367218181.0,-0.030553118722006722,26.70472568745991,-0.883654540440724,,-0.08550053326261284,-0.004080784420330008,
PV2,2013,4,284838870216.0,88695090152.0,16499067112.0,33172742602.0,33172742602.0,251666127614.0,382802918.0,0.0,-78843658092.0,0.0,-81440322267.0,10123998565.0,0.0,340428471887.5,292386288747.5,16442808475.5,-0.23922888063814254,-0.27853673513852945,-212.7473915102183,0.0011244738604781074,0.0,0.11646143160462731,0.131812504592909,,2.6737340115692616,2.176365816543829,0.0,0.029738988953737208,10123998565.0,0.029738988953737208,26.375189489671342,0.11983869460895269,,-0.029884482173085126,-0.08550053326261284,
PV2,2014,1,278829349892.0,88225436923.0,17400561611.0,33766982114.0,33766982114.0,245062367778.0,292323696.0,-182501996.0,-2247684272.0,0.0,-1377684272.0,-413180864.0,0.0,281834110054.0,248364247696.0,16949814361.5,-0.004888280810779195,-0.005547031365344892,-4.712872376928349,0.001037219007819849,-0.010767197333708687,0.12110268207804914,0.13778934081216923,,2.612772341488616,2.0974594375324873,0.0,-0.0014660427863782482,-413180864.0,-0.0014660427863782482,26.35386578250152,-0.23635980225208209,2.320553921185868,-0.23922888063814254,-0.029884482173085126,-0.004080784420330008
PV2,2014,2,276377163871.0,85832872227.0,17410527611.0,32485089999.0,32485089999.0,243892073872.0,175052984.0,-457633815.0,-1928604851.0,0.0,-1170293906.0,-1605759798.0,-299237780.0,277603256881.5,244477220825.0,17405544611.0,-0.00421570668567322,-0.00478692412344507,-6.685369647854732,0.0006305869245429082,-0.026292415734626505,0.11753898022545209,0.13319452938043777,,2.6422236241193184,2.1062692028283214,299237780.0,-0.0057843694488261994,-1904997578.0,-0.006862302695581064,26.345032305567816,-0.4011673141954253,-0.9404201798440722,-0.004888280810779195,-0.23922888063814254,-0.08550053326261284
PV2,2014,3,275307626433.0,84209510801.0,16998020611.0,31524052390.0,31524052390.0,243783574043.0,0.0,-182501996.0,-6064580522.0,0.0,-108499829.0,20484817691.0,78210857.0,275842395152.0,243837823957.5,17204274111.0,-0.00039333993217472005,-0.00044496718039491325,,0.0,-0.010607945143312533,0.11450482792081979,0.1293116343615489,,2.671278100899007,2.1320701208871453,78210857.0,0.07426276036978312,20406606834.0,0.07397922579215989,26.341154950974257,-1.0,-1.0,-0.00421570668567322,-0.004888280810779195,-0.029884482173085126
PV2,2014,4,252131185744.0,69511197009.0,16998020611.0,31779564330.0,31779564330.0,220351621414.0,0.0,-182501996.0,-23211329478.0,0.0,-23431952629.0,-487320270.0,-816307675.0,263719406088.5,232067597728.5,16998020611.0,-0.08885183300138562,-0.10097037612469044,,0.0,-0.010736661648821436,0.12604376660595729,0.1442220580273928,,2.187292320536353,1.652419644671699,816307675.0,-0.0018478741372429117,-1303627945.0,-0.004943238589588373,26.25321536735314,,-1.0,-0.00039333993217472005,-0.00421570668567322,-0.23922888063814254
PV2,2015,1,251255767608.0,67820051703.0,11998020611.0,32164683592.0,32164683592.0,219091084016.0,5418181818.0,-5562667284.0,-1440877421.0,0.0,-935537398.0,5683923964.0,-1000000000.0,251693476676.0,219721352715.0,14498020611.0,-0.0037169711760321016,-0.004257835601501522,-0.17266629829438476,0.021526906019001507,-0.383684603109163,0.1280157024780508,0.14680964191884252,,2.108525380298415,1.7355069243051424,1000000000.0,0.022582722599985387,4683923964.0,0.018609635918492722,26.249737251709952,,17.534870392443313,-0.08885183300138562,-0.00039333993217472005,-0.004888280810779195
PV2,2015,2,258401518898.0,75150075823.0,11998020611.0,38259189422.0,38259189422.0,220142329476.0,2755200487.0,-1998151163.0,1534039254.0,0.0,1051245460.0,3917300671.0,200000000.0,254828643253.0,219616706746.0,11998020611.0,0.004125303366922918,0.004786728093577275,0.381549533313508,0.010811973300287797,-0.166540067548147,0.14806100825244073,0.1737929707252009,,1.9642359641782376,1.650637563578019,200000000.0,0.01537229340074934,3717300671.0,0.014587452272032758,26.277780486925817,-0.4914898429862916,14.739237481378781,-0.0037169711760321016,-0.08885183300138562,-0.00421570668567322
