firm,year,quarter,total_assets,current_assets,inventory,total_liabilities,short_term_debt,equity,revenue,cogs,operating_profit,interest_expense,net_income,cfo,capex,avg_total_assets,avg_equity,avg_inventory,ROA,ROE,NPM,TATO,ITO,DAR,DER,ICR,CR,QR,capex_abs,CFO_TA,FCF,FCF_TA,SIZE,REV_GROWTH_QOQ,REV_GROWTH_YOY,ROA_lag1,ROA_lag2,ROA_lag4
PVR,2013,1,1066998863483.0,126547167059.0,0.0,537212532677.0,537212532677.0,529786330806.0,60129033.0,0.0,-3154919379.0,0.0,-3558171495.0,-26133846786.0,-247893000.0,1066998863483.0,529786330806.0,0.0,-0.003334747221177983,-0.006716238770424128,-59.17559816736118,5.6353418038067115e-05,,0.5034799483510033,1.0140173527310568,,0.2355625741424888,0.2355625741424888,247893000.0,-0.024492853441934692,-26381739786.0,-0.024725180774684424,27.69587102309577,,,,,
PVR,2013,2,1081271170484.0,775699178524.0,646355976360.0,554569177842.0,514243966283.0,526701992642.0,-60129033.0,0.0,-3613142030.0,0.0,-3084338164.0,-6534468257.0,-10000000.0,1074135016983.5,528244161724.0,323177988180.0,-0.002871462260546878,-0.005838849508405021,51.2953229099826,-5.597902689073552e-05,0.0,0.5128863073208204,1.0529088281216004,,1.508426407276727,0.2515210885193343,10000000.0,-0.0060834700979684915,-6544468257.0,-0.006092779914557548,27.709158474639203,-2.0,,-0.003334747221177983,,
PVR,2013,3,1111844920350.0,134167572870.0,0.0,586914229959.0,546589018400.0,524930690391.0,0.0,0.0,-2077661847.0,0.0,-2024928513.0,-979316359.0,-386352022.0,1096558045417.0,525816341516.5,323177988180.0,-0.0018466222754582576,-0.0038510186031113646,,0.0,0.0,0.5278741839052914,1.118079473543128,,0.24546335245216117,0.24546335245216117,386352022.0,-0.0008930820972888715,-1365668381.0,-0.0012454136711756672,27.737041841914564,-1.0,,-0.002871462260546878,-0.003334747221177983,
PVR,2013,4,1594571582897.0,772613326367.0,693120095989.0,1070682672594.0,1018606519424.0,523888910303.0,0.0,0.0,-615892593.0,0.0,-1041780088.0,141923497307.0,-1658728976.0,1353208251623.5,524409800347.0,346560047994.5,-0.0007698593965490036,-0.0019865763136208705,,0.0,0.0,0.6714547556709844,2.0437208185505447,,0.7585002762439574,0.07804115609131553,1658728976.0,0.10487927274809956,140264768331.0,0.10365349765102197,28.09762621602132,,,-0.0018466222754582576,-0.002871462260546878,
PVR,2014,1,1591529781932.0,1513326671078.0,693502609634.0,1066991444179.0,1013279666727.0,524538337753.0,0.0,0.0,-1974392909.0,0.0,-1974392909.0,-7511884678.0,-12853308.0,1593050682414.5,524213624028.0,693311352811.5,-0.001239378590270286,-0.0037663899191115666,,0.0,0.0,0.6704187733664342,2.034153401922427,,1.4934935741543147,0.8090797519821137,12853308.0,-0.004715408468118946,-7524737986.0,-0.00472347682912082,28.095716796614425,,-1.0,-0.0007698593965490036,-0.0018466222754582576,-0.003334747221177983
PVR,2014,2,1106148525340.0,1028574130406.0,693895879173.0,579041696813.0,525329919361.0,527106828527.0,0.0,0.0,2568490774.0,0.0,2568490774.0,-4290162287.0,-68122173.0,1348839153636.0,525822583140.0,693699244403.5,0.0019042231737388736,0.00488470989332944,,0.0,0.0,0.5234755401721648,1.098528164454124,,1.9579584038486433,0.6370820295940794,68122173.0,-0.0031806329727567728,-4358284460.0,-0.0032311372695933275,27.73190530055502,,-1.0,-0.001239378590270286,-0.0007698593965490036,-0.002871462260546878
PVR,2014,3,1053017475590.0,975497350116.0,698351875633.0,527835850645.0,474124073193.0,525181624945.0,0.0,0.0,-1907340695.0,0.0,-1925203582.0,-4173332606.0,-75793296.0,1079583000465.0,526144226736.0,696123877403.0,-0.0017832844544335847,-0.0036590795530404953,,0.0,0.0,0.5012602951810049,1.0050539195850159,,2.0574727276480385,0.5845420854008891,75793296.0,-0.0038656894413884382,-4249125902.0,-0.003935895526485512,27.682680944944575,,,0.0019042231737388736,-0.001239378590270286,-0.0018466222754582576
PVR,2014,4,1058261631291.0,982397337584.0,704417648620.0,530064416294.0,476352638842.0,528197214997.0,499935455.0,-1439620558.0,2022416049.0,0.0,3015590052.0,784812163.0,-497721205.0,1055639553440.5,526689419971.0,701384762126.5,0.0028566474628311384,0.005725556537980279,6.031958769557562,0.00047358537615479595,-0.0020525403968504716,0.5008822021141984,1.0035350457063856,,2.062332099119217,0.5835586208565169,497721205.0,0.0007434470984363652,287090958.0,0.0002719592658917754,27.6876487073487,,,-0.0017832844544335847,0.0019042231737388736,-0.0007698593965490036
PVR,2015,1,1068051637780.0,994085976268.0,707219248204.0,542171930877.0,488460153425.0,525879706903.0,0.0,0.0,-1301904845.0,0.0,-1301904845.0,4867974537.0,-23442991.0,1063156634535.5,527038460950.0,705818448412.0,-0.001224565414642604,-0.0024702273960296637,,0.0,0.0,0.5076270769116857,1.030980894984421,,2.0351424149905313,0.5872878801935818,23442991.0,0.00457879335825887,4844531546.0,0.0045567429940524306,27.696857205279002,-1.0,,0.0028566474628311384,-0.0017832844544335847,-0.001239378590270286
PVR,2015,2,1065667986678.0,1006623431377.0,717709815951.0,545529086860.0,545529086860.0,520138899818.0,0.0,0.0,-5740807085.0,-98611111.0,-5740807085.0,-16046675681.0,-92385642.0,1066859812229.0,523009303360.5,712464532077.5,-0.0053810322773389305,-0.010976491332206713,,0.0,0.0,0.5119128036871731,1.0488142437546666,58.21663529376522,1.8452241239252773,0.5296025865255913,92385642.0,-0.015041034911113142,-16139061323.0,-0.015127630770232605,27.694622936009257,,,-0.001224565414642604,0.0028566474628311384,0.0019042231737388736
